id,nombre,municipio_id,nombre_municipio,longitud,latitud,tipo,Hora_Apertura,Hora_Cierre,Tiempo_Prom_Estancia,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
139,Centro Cultural Atelier de Arte 18,60,Nicolás Romero,-99.29341,19.60876,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
141,Casa de Cultura María Elena Vásquez,61,Nopaltepec,-98.70955,19.77928,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
142,Centro Regional de Cultura de Ocoyoacac,62,Ocoyoacac,-99.46121,19.27249,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
146,Centro Regional de Cultura de Otumba,65,Otumba,-98.7575,19.69985,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
150,Casa de Cultura Papalotla,69,Papalotla,-98.858,19.56389,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
151,Casa de Cultura Municipal de Papalotla,69,Papalotla,-98.85806,19.56338,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
152,Centro de Artes y Oficios Carmen Serdán Alatriste,70,La Paz,-98.97956,19.35378,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
153,Centro Comunitario Cultural Ciudad Retoño,70,La Paz,-98.98238,19.36871,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
157,Casa de Cultura Profr. Jesús Gómez Nava,74,San Felipe del Progreso,-99.95369,19.71369,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
158,Casa de Cultura Neteotiloyan,75,San Martín de las Pirámides,-98.82946,19.70744,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
160,Casa de Cultura San Mateo Atenco,76,San Mateo Atenco,-99.52751,19.26511,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
161,Casa de Cultura Cuitepec San Simón de Guerrero,77,San Simón de Guerrero,-100.00736,19.02315,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
165,Casa de Cultura Felipe Villanueva,81,Tecámac,-98.97331,19.71272,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
166,Centro Regional de Cultura de Tejupilco,82,Tejupilco,-100.14739,18.89669,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
167,Casa de Cultura In Acatlixhuayan In Temamatzolli,83,Temamatla,-98.86988,19.2028,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
168,Casa de Cultura Temazcalli,84,Temascalapa,-98.86334,19.84281,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
170,Centro Regional de Cultura de Temascalcingo José Ma. Velasco,85,Temascalcingo,-100.00245,19.91736,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
172,Centro Regional de Cultura de Tenancingo Joaquín Solache Monroy,88,Tenancingo,-99.58517,18.96393,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
174,Centro Cultural León Guzmán,90,Tenango del Valle,-99.59155,19.10412,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
175,Casa de Cultura Narciso Bassols,90,Tenango del Valle,-99.59409,19.09921,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
176,Casa de Cultura Teohuilloyocan,91,Teoloyucan,-99.18471,19.747,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
177,Casa de Cultura Ing. Heberto Castillo,92,Teotihuacán,-98.86698,19.68464,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
178,Casa de Cultura Rosario de la Peña,94,Tepetlixpa,-458.81871,19.02977,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
179,Centro Regional de Cultura Nepantla Sor Juana Inés de la Cruz,94,Tepetlixpa,-98.84112,18.97876,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
180,Casa de Cultura de Tepotzotlán,95,Tepotzotlán,-99.22396,19.71464,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
182,Centro de Desarrollo Social Integral,96,Tequixquiac,-99.14896,19.91036,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
